name,price,promo_price,promo_start,promo_final,image,description
Caixa de Som Bluetooth JBL Go 3 à Prova D'água,289.0,245.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/bluetoothspeaker?lock=10,"A JBL Go 3 apresenta um estilo ousado e o rico som JBL Pro. Design portátil resistente a poeira e água com classificação IP67, perfeito para levar para a praia ou piscina."
Projetor Portátil Smart LED Full HD 1080p,899.0,,,,https://loremflickr.com/500/500/projector?lock=11,"Crie uma tela de cinema de até 120 polegadas em any parede lisa. Projetor inteligente bivolt com sistema Android integrado, Wi-Fi de banda dupla e foco manual de precisão."
Antena Digital Interna para TV HDTV/UHF Aquário,39.9,,,,https://loremflickr.com/500/500/tvantenna?lock=12,"Assista aos canais abertos com qualidade digital de alta definição. Antena interna compacta de alto ganho com cabo de 3 metros, fácil de instalar em qualquer televisão."
Notebook Lenovo IdeaPad 1i Intel Core i3 8GB 256GB SSD Windows 11,2399.0,2038.97,2026-05-28,2026-06-10,"https://loremflickr.com/500/500/lenovo,laptop?lock=13","Excelente notebook para estudos e trabalho diário. Equipado com processador Intel Core i3 de 12ª geração, 8GB de RAM, SSD de inicialização rápida e tela antirreflexo de 15.6""."
Notebook ASUS Vivobook AMD Ryzen 5 16GB 512GB SSD Windows 11,3499.0,,,,"https://loremflickr.com/500/500/asus,laptop?lock=14","O notebook ideal para produtividade e multitarefas. Possui design moderno e ultrafino com 16GB de RAM, amplo armazenamento em SSD NVMe de 512GB e bateria de carregamento rápido."
Console PlayStation 5 Slim 1TB SSD com 2 Jogos Inclusos,3899.0,3313.97,2026-05-28,2026-06-10,"https://loremflickr.com/500/500/playstation5,console?lock=15",Experimente o carregamento ultrarrápido com o SSD de alta velocidade do novo modelo PS5 Slim. Inclui dois grandes sucessos dos jogos de última geração e controle sem fio DualSense.
Controle Sem Fio Xbox Robot White Microsoft,429.0,,,,https://loremflickr.com/500/500/xboxcontroller?lock=16,"Experimente o design modernizado do Controle Sem Fio Xbox, com superfícies esculpidas e geometria refinada para maior conforto durante o jogo. Compatível com consoles, PC e celular."
Jogo EA Sports FC 24 para PlayStation 5,199.9,,,,"https://loremflickr.com/500/500/soccergame,football?lock=17","O jogo de futebol virtual definitivo com o realismo do HyperMotionV, estilos de jogo otimizados pela Opta e a maior base de dados de atletas licenciados no modo Ultimate Team."
Mouse Sem Fio Multilaser Sem Fio 1200 DPI Preto USB,29.9,,,,https://loremflickr.com/500/500/computermouse?lock=18,Mouse óptico ergonômico clássico com conexão sem fio confiável via mini receptor USB nano de 2.4GHz. Funciona com apenas uma pilha AA e possui modo de economia de energia automática.
Boneca Barbie Color Reveal Mattel 7 Surpresas,149.9,126.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/barbiedoll?lock=19,As bonecas Barbie Color Reveal proporcionam uma experiência cheia de surpresas! O visual da boneca permanece um mistério até ser revelado na água quente. Inclui acessórios de moda surpresa.
Jogo de Tabuleiro Banco Imobiliário Estrela Clássico,129.9,,,,https://loremflickr.com/500/500/boardgame?lock=20,"Divirta-se em família com o mais famoso jogo de tabuleiro do mundo! Compre propriedades, negocie títulos, invista em casas e hotéis e tente levar seus adversários à falência."
Lego Classic Caixa de Pecas Criativas com 484 Pecas,219.0,,,,"https://loremflickr.com/500/500/legobricks,lego?lock=21","Estimule a criatividade das crianças com esta incrível caixa de blocos clássicos LEGO. Oferece uma grande variedade de cores de peças, janelas, portas e rodas para montar infinitas criações."
Carrinho de Controle Remoto Tornado 360 Graus Recarregavel,119.9,101.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/toycar?lock=22,O carrinho acrobático Tornado executa capotamentos e giros incríveis em 360 graus! Conta com luzes de LED vibrantes para brincar no escuro e acompanha bateria recarregável USB.
Pista Hot Wheels City Ataque de Cobra Mattel,189.9,,,,https://loremflickr.com/500/500/toytrack?lock=23,Lute contra a cobra gigante que está atacando a cidade de Hot Wheels! Lance o carrinho na velocidade certa para vencer o monstro e passar pelo portal secreto com segurança.
Boneco Luccas Neto com Som 29cm Baby Brink,159.0,,,,https://loremflickr.com/500/500/actionfigure?lock=24,Brinque com o youtuber favorito da garotada! O boneco do Luccas Neto fala 14 de suas frases mais famosas e divertidas ao apertar sua barriguinha. Confeccionado em vinil atóxico macio.
Pelucia Disney Mickey Mouse 30cm com Sons Fun Divirta-se,99.9,84.97,2026-05-28,2026-06-10,"https://loremflickr.com/500/500/plushie,mickey?lock=25","Leve a magia da Disney para a sua casa com o Mickey Mouse de pelúcia fofinho. Ao apertar sua barriguinha, ele emite sons de risada clássica e frases icônicas em português."
Quebra-Cabeca 1000 Pecas Cartoes Postais do Brasil Toyster,59.9,,,,https://loremflickr.com/500/500/jigsawpuzzle?lock=26,Divirta-se e relaxe montando um lindo quebra-cabeça com belíssimas paisagens de cartões postais brasileiros. Fabricado em papel cartão rígido de alta durabilidade e encaixe perfeito.
Jogo de Lencol Casal 4 Pecas Microfibra 140 Fios Cinza,79.9,67.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/bedsheets?lock=27,"Jogo de cama completo em microfibra macia de secagem rápida que não amassa. Inclui lençol de cima, lençol com elástico resistente e duas fronhas macias combinando na cor cinza."
Jogo de Toalhas de Banho 5 Pecas 100 por cento Algodao Buddemeyer,189.0,,,,https://loremflickr.com/500/500/towels?lock=28,"Toalhas premium fabricadas em algodão 100% de fibra longa de altíssima absorção e toque extremamente macio. O jogo contém 2 toalhas de banho gigante, 2 toalhas de rosto e 1 piso."
Cobertor Manta Casal Microfibra Flannel Soft Azul Marinho,99.0,,,,https://loremflickr.com/500/500/blanket?lock=29,"Mantenha-se aquecido nas noites mais frias com o aconchegante cobertor de microfibra flannel soft. Oferece toque aveludado e brilho suave, sendo super leve e antialérgico."
Travesseiro de Corpo Altamente Macio Percal 180 Fios Altenburg,89.9,75.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/bodypillow?lock=30,"O travesseiro de corpo gigante ajuda a manter a postura correta ao dormir de lado, apoiando os joelhos e tornozelos. Revestimento em percal 180 fios respirável de alta durabilidade."
Jogo de Mesa Americano Redondo 4 Pecas Impermeavel Copa,49.9,,,,https://loremflickr.com/500/500/placemat?lock=31,Dê um toque de elegância à sua mesa de jantar. Jogo americano redondo com 4 peças laváveis feitas de material impermeável com estampas clássicas de alta qualidade.
Protetor de Colchao Impermeavel Casal com Elastico,69.9,,,,https://loremflickr.com/500/500/mattresscover?lock=32,"Proteja seu colchão de líquidos, poeira e ácaros com total eficácia. Protetor impermeável com acabamento matelado confortável de toque macio e elásticos reforçados nas laterais."
Kit 10 Cuecas Boxer Masculinas de Algodao Lupo,159.0,134.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/boxerbriefs?lock=33,Kit econômico contendo 10 cuecas masculinas modelo boxer em cores sortidas clássicas. Confeccionadas em algodão com elastano de toque macio e cós elástico reforçado super confortável.
Kit 3 Camisetas Basicas Masculinas Hering 100 por cento Algodao,99.9,,,,https://loremflickr.com/500/500/tshirt?lock=34,"As camisetas básicas Hering são sinônimo de conforto e durabilidade. Confeccionadas em algodão 100% premium com gola careca tradicional, ideais para o guarda-roupa diário."
Calca Jeans Masculina Slim com Elastano Basica,119.0,,,,https://loremflickr.com/500/500/jeans?lock=35,Calça jeans masculina com modelagem slim moderna que se ajusta perfeitamente ao corpo. Lavagem escura clássica em tecido com elastano para maior flexibilidade e movimento.
Calca Legging Feminina Fitness Suplex Preta Academia,49.9,41.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/leggings?lock=36,"Perfeita para caminhadas, academia, crossfit ou uso no dia a dia. Legging preta confeccionada em tecido suplex de alta densidade sem transparência, cintura alta com cós largo modelador."
Kit 3 Meias Cano Medio Esportivas Lupo Unissex,39.9,,,,https://loremflickr.com/500/500/socks?lock=37,Kit com 3 pares de meias esportivas macias de algodão atoalhado com punho confortável. Perfeitas para práticas esportivas ou uso casual com tênis sem escorregar.
Pijama Feminino de Inverno Soft Fleece Aconchegante,129.9,,,,https://loremflickr.com/500/500/pajamas?lock=38,"Durma com máximo conforto nas noites de inverno. Pijama feminino completo em tecido de soft fleece aveludado extremamente macio, quentinho e com estampas delicadas."
Chinelo Havaianas Top Unissex Preto Original,29.9,,,,https://loremflickr.com/500/500/flipflops?lock=39,O clássico chinelo de tiras das legítimas Havaianas. Confeccionado em borracha antiderrapante de alta qualidade que não deforma e possui excelente aderência em superfícies molhadas.
Caixa de Bombom Especialidades Nestle 251g,13.99,11.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/chocolatebox?lock=40,"A tradicional caixa vermelha da Nestlé reúne os maiores sucessos de chocolate em um só lugar. Perfeito para presentear ou saborear com amigos os bombons Prestígio, Alpino, Baton e muito mais."
Caixa de Bombom Favoritos Lacta 250g,13.99,11.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/chocolates?lock=41,"A caixa Lacta reúne as principais delícias de bombons da marca como Sonho de Valsa, Ouro Branco, Laka, Diamante Negro e Bis. Perfeito para compartilhar alegria com toda a família."
Chocolate em Barra Diamante Negro Lacta 90g,5.99,,,,https://loremflickr.com/500/500/chocolatebar?lock=42,A barra de chocolate ao leite mais famosa do Brasil. Diamante Negro possui a combinação irresistível e exclusiva do chocolate Lacta com pedacinhos de açúcar crocante que derretem na boca.
Pacote de Balas de Goma Fini Dentaduras 500g,19.9,,,,https://loremflickr.com/500/500/gummycandy?lock=43,"Embalagem tamanho família de um clássico da Fini! Balas de gelatina em formato de dentaduras deliciosas e divertidas sabor morango e framboesa, perfeitas para festas ou sobremesas rápidas."
Salgadinho Doritos Queijo Nacho Elma Chips 140g,9.9,,,,"https://loremflickr.com/500/500/nachochips,doritos?lock=44",A tortilha de milho sabor queijo nacho mais crocante e amada do mundo. Perfeito para acompanhar dips caseiros de guacamole ou cheddar em encontros com amigos.
Achocolatado em Po Nescau 2.0 Lata 370g Nestle,8.49,,,,https://loremflickr.com/500/500/chocolatedrink?lock=45,O achocolatado em pó favorito dos brasileiros. Nescau 2.0 vem enriquecido com o complexo exclusivo Activ-Go com vitaminas e minerais essenciais para dar energia ao seu dia.
Biscoito Recheado Passatempo Chocolate Nestle 130g,2.79,,,,"https://loremflickr.com/500/500/cookies,sweet?lock=46","O delicioso biscoito recheado sabor chocolate com ilustrações divertidas de animais em alto relevo. Fonte de cálcio e zinco, perfeito para o lanche da tarde das crianças."
Cafe Soluvel Nescafe Original Vidro 100g,14.9,12.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/instantcoffee?lock=47,Prepare seu café matinal em segundos com o sabor marcante e encorpado de Nescafé Original. Grãos selecionados torrados de forma ideal para garantir frescor e cremosidade imediata.
Pack 12 Latas de Refrigerante Coca-Cola Sem Acucar 350ml,39.9,,,,https://loremflickr.com/500/500/cocacola?lock=48,"O sabor inconfundível de Coca-Cola em embalagem pack econômica com 12 latas. Versão sem açúcar refrescante, perfeita para ter sempre gelada na geladeira de casa."
Cerveja Heineken Premium Lager Pack 6 Garrafas 330ml,32.9,,,,"https://loremflickr.com/500/500/heineken,beer?lock=49","A renomada cerveja holandesa Heineken produzida com ingredientes 100% naturais: malte de cevada, água purificada, lúpulo e a exclusiva Levedura A-Yeast. Cerveja pura malte leve e refrescante."
Fritadeira Eletrica Sem Oleo Airfryer Mondial Family 4L,389.0,330.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/airfryer?lock=50,"Prepare batatas fritas crocantes, pães de queijo, carnes e doces de forma saudável. Tecnologia de circulação de ar quente que dispensa o uso de óleo e cesto antiaderente de 4 litros fácil de limpar."
Liquidificador Mondial Turbo Power 500W com Filtro,129.0,,,,https://loremflickr.com/500/500/blender?lock=51,"Faça sucos verdes deliciosos, vitaminas e massas de bolo com facilidade. Liquidificador potente com copo de 2.2 litros, 3 velocidades e filtro de bagaços incluso."
Micro-ondas Consul 20 Litros Branco Bivolt,549.0,,,,https://loremflickr.com/500/500/microwave?lock=52,"Praticidade e economia de espaço no balcão da cozinha. O micro-ondas Consul conta com receitas rápidas pré-programadas, ajuste de potência inteligente e função tira odor."
Cafeteira Eletrica Mondial Dolce Arome 30 Xicaras,149.0,126.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/coffeemaker?lock=53,"Mantenha o café aquecido por muito mais tempo. Cafeteira elétrica moderna com jarra de vidro resistente de alta capacidade, placa de aquecimento embutida e sistema corta-pingos."
Grill e Sanduicheira Mondial Ultra Gourmet Preto,89.9,,,,https://loremflickr.com/500/500/sandwichmaker?lock=54,"Prepare sanduíches saborosos, misto-quente e pequenos grelhados rapidamente. Chapas onduladas antiaderentes de aquecimento rápido com luzes piloto indicadoras de funcionamento."
Panela de Arroz Eletrica Electrolux 1.2L Easyline,199.0,,,,https://loremflickr.com/500/500/ricecooker?lock=55,"Arroz soltinho e fresquinho feito de maneira super rápida. Panela elétrica com desligamento automático inteligente, função de manter aquecido e acessório de cozimento a vapor inclusos."
Batedeira Mondial Pratica 400W 3 Velocidades,99.0,,,,https://loremflickr.com/500/500/standmixer?lock=56,"Ideal para preparar massas leves, cremes, chantilly e claras em neve de forma rápida. Batedeira compacta de 3 velocidades mais função pulsar com par de batedores de aço resistente."
Secador de Cabelo Taiff Easy 1700W Professional,199.0,168.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/hairdryer?lock=57,"Seque e modele seus cabelos com qualidade de salão em casa. O secador Taiff Easy de 1700W é extremamente leve e silencioso, possuindo controle de temperatura e velocidade combináveis."
Prancha Alisadora de Cabelo Mondial Chrome Pink,79.9,,,,https://loremflickr.com/500/500/hairstraightener?lock=58,"Alisamento perfeito com máxima proteção aos fios. Prancha alisadora com chapas revestidas em cerâmica e temperatura constante de até 220 graus, além de cabo giratório funcional de 360 graus."
Perfume Masculino Malbec Desodorante Colonia 100ml,199.0,,,,https://loremflickr.com/500/500/perfume?lock=59,"O Malbec é um perfume amadeirado aromático marcante, fabricado com álcool vínico macerado em barris de carvalho francês. A fragrância clássica e imponente masculina de maior sucesso."
Hidratante Corporal Cerave Locao Hidratante 473ml,99.9,84.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/moisturizer?lock=60,Hidrata profundamente a pele seca enquanto restaura a barreira protetora natural da pele. Contém 3 ceramidas essenciais de alta qualidade e ácido hialurônico de absorção profunda sem perfume.
Protetor Solar Nivea Sun Protect e Hidrata FPS 50 200ml,59.9,,,,https://loremflickr.com/500/500/sunscreen?lock=61,Proteção imediata contra raios nocivos UVA e UVB com fórmula super leve e não gordurosa. Previne o envelhecimento precoce da pele e possui excelente resistência à água.
Kit Shampoo e Condicionador Elseve LOreal Paris Hidra Hialuronico,34.9,,,,https://loremflickr.com/500/500/shampoo?lock=62,Hidratação intensa e preenchimento imediato da fibra capilar. Enriquecido com Ácido Hialurônico ativo que retém a umidade natural do cabelo para deixá-lo macio e brilhante.
Sabonete em Barra Dove Original Leite Hidratante Pack 6 unidades,18.9,,,,https://loremflickr.com/500/500/soap?lock=63,"Limpa suavemente sem ressecar a pele. O sabonete em barra Dove Original contém um quarto de creme hidratante nutritivo ativo, deixando a pele incrivelmente macia e radiante."
Aparelho de Jantar 18 Pecas Oxford Ceramica,249.0,211.97,2026-05-28,2026-06-10,"https://loremflickr.com/500/500/dinnerware,plates?lock=64","Deixe sua mesa muito mais elegante para receber convidados. Aparelho de jantar Oxford em cerâmica de alta resistência contendo 6 pratos rasos, 6 pratos fundos e 6 pratos de sobremesa."
Conjunto de Panelas 5 Pecas Antiaderente Tramontina Paris,299.0,,,,"https://loremflickr.com/500/500/cookware,pots?lock=65","Panelas em alumínio com revestimento interno e externo antiaderente Starflon Max durável da linha Paris Tramontina. O cozimento é rápido e os alimentos não grudam, facilitando a limpeza."
Garrafa Termica Invicta 1 Litro Conservacao Quente Frio,49.9,,,,https://loremflickr.com/500/500/thermos?lock=66,Garrafa térmica clássica Invicta com ampola de vidro resistente para manter o café ou chá na temperatura ideal por até 12 horas. Prático bico dosador corta-pingos integrado.
Kit 10 Potes de Plastico Sanremo com Tampa Hermetica,59.9,50.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/foodcontainer?lock=67,Kit com 10 potes plásticos livres de BPA e aptos para micro-ondas e lava-louças. Tampas herméticas com travas de borracha coloridas que garantem vedação completa contra ar e vazamentos.
MOP Giratorio Limpeza Pratica com Balde Centrifugador,89.9,,,,https://loremflickr.com/500/500/cleaningmop?lock=68,"Economize tempo e esforço na limpeza diária do chão de casa. O Mop giratório substitui a vassoura e o rodo com pano de forma prática, com balde escorredor centrífugo em inox."
Lixeira Inox com Pedal e Cesto Removivel 5 Litros,69.9,,,,https://loremflickr.com/500/500/trashcan?lock=69,"Lixeira compacta em aço inox com acabamento escovado moderno e pedal higiênico antiderrapante. Ideal para banheiros, lavabos ou escritórios, com balde plástico interno removível."
Organizador de Gavetas Multiuso de Tecido TNT 3 Pecas,39.9,,,,https://loremflickr.com/500/500/drawerorganizer?lock=70,"Organize calcinhas, cuecas, meias e cintos com total facilidade em gavetas e closets. Feito de tecido TNT respirável com divisórias flexíveis costuradas de alta resistência."
Caderno Universitario Tilibra 10 Materias Capa Dura,24.9,20.97,2026-05-28,2026-06-10,https://loremflickr.com/500/500/notebook?lock=71,"Caderno universitário espiral clássico Tilibra com capa dura estampada moderna. Possui bolsa plástica de recados, cartela de adesivos funcionais e 160 folhas pautadas brancas."
Estojo de Canetas Hidrograficas Stabilo Point 88 com 10 Cores,79.9,,,,https://loremflickr.com/500/500/pens?lock=72,"As famosas canetas Stabilo de ponta ultrafina de 0.4mm de fibra de alta qualidade. Ideal para desenhos de precisão, caligrafia fina e contornos coloridos em trabalhos de escrita."
Caixa de Canetas Esferograficas Bic Cristal Azul com 50 unidades,45.0,,,,https://loremflickr.com/500/500/ballpointpens?lock=73,"A caneta esferográfica número 1 em vendas no mundo. Caixa contendo 50 canetas Bic Cristal clássicas de tinta azul de alta fluidez, corpo transparente hexagonal e escrita super macia."
Resma de Papel Sulfite A4 Chamex 75g com 500 folhas,29.9,,,,https://loremflickr.com/500/500/paperstack?lock=74,"Papel sulfite branco de alto desempenho A4 da Chamex, pacote com 500 folhas de 75g/m². Excelente brancura que evita atolamentos e borrões em impressoras a laser ou jato de tinta."
